Mnemonic,Opcode,Format,Operands,Operation,Description,Func,Example
NOP,0x00,R,"-, -, -, -",-,Performs no operation. Used for padding and timing.,-,nop
MOV,0x01,R,"rd, rs, -, -",rd = rs,Copies the contents of source register rs to destination register rd.,-,mov r1, r2
MOVZ,0x03,I,"rd, rs, imm15",rd = rs | zero_extend(imm15),Zero-extends a 15-bit immediate value and performs bitwise OR with rs; storing the result in rd.,-,movz r1, r0, 42
LUI,0x04,I,"rd, rs, imm15",rd = rs | (imm15 << 32),Loads a 15-bit immediate value into bits 32-46 of rd; effectively loading the upper half of a 64-bit register when used with rs.,-,lui r1, r0, 0x1234
ADDI,0x05,I,"rd, rs, imm15",rd = rs + sign_extend(imm15),Adds a sign-extended 15-bit immediate value to the contents of rs and stores the result in rd.,-,addi r1, r2, 10
ADD,0x10,R,"rd, rs1, rs2, -",rd = rs1 + rs2,Adds the contents of rs1 and rs2 and stores the 64-bit result in rd.,0,add r1, r2, r3
SUB,0x10,R,"rd, rs1, rs2, -",rd = rs1 - rs2,Subtracts the contents of rs2 from rs1 and stores the 64-bit result in rd.,1,sub r1, r2, r3
MUL,0x10,R,"rd, rs1, rs2, -",rd = (rs1 * rs2)[63:0],Multiplies the contents of rs1 and rs2 and stores the lower 64 bits of the result in rd.,2,mul r1, r2, r3
DIV,0x10,R,"rd, rs1, rs2, -",rd = rs1 / rs2 (signed),Performs signed integer division of rs1 by rs2 and stores the quotient in rd.,5,div r1, r2, r3
DIVU,0x10,R,"rd, rs1, rs2, -",rd = rs1 / rs2 (unsigned),Performs unsigned integer division of rs1 by rs2 and stores the quotient in rd.,6,divu r1, r2, r3
REM,0x10,R,"rd, rs1, rs2, -",rd = rs1 % rs2 (signed),Performs signed integer division of rs1 by rs2 and stores the remainder in rd.,7,rem r1, r2, r3
SHL,0x13,R,"rd, rs1, rs2, -",rd = rs1 << (rs2 & 63),Shifts the contents of rs1 left by the number of bits specified in rs2 (mod 64) and stores the result in rd.,0,shl r1, r2, r3
SHR,0x13,R,"rd, rs1, rs2, -",rd = rs1 >> (rs2 & 63) (logical),Performs logical right shift of rs1 by the number of bits specified in rs2 (mod 64) and stores the result in rd.,1,shr r1, r2, r3
SAR,0x13,R,"rd, rs1, rs2, -",rd = rs1 >> (rs2 & 63) (arithmetic),Performs arithmetic right shift of rs1 by the number of bits specified in rs2 (mod 64) and stores the result in rd.,2,sar r1, r2, r3
AND,0x20,R,"rd, rs1, rs2, -",rd = rs1 & rs2,Performs bitwise AND of rs1 and rs2 and stores the result in rd.,0,and r1, r2, r3
OR,0x20,R,"rd, rs1, rs2, -",rd = rs1 | rs2,Performs bitwise OR of rs1 and rs2 and stores the result in rd.,1,or r1, r2, r3
XOR,0x20,R,"rd, rs1, rs2, -",rd = rs1 ^ rs2,Performs bitwise XOR of rs1 and rs2 and stores the result in rd.,2,xor r1, r2, r3
NOT,0x21,R,"rd, rs, -, -",rd = ~rs,Performs bitwise NOT (one's complement) of rs and stores the result in rd.,-,not r1, r2
CMPEQ,0x40,R,"rd, rs1, rs2, -",rd = (rs1 == rs2) ? 1 : 0,Compares rs1 and rs2 for equality. Stores 1 in rd if equal; 0 otherwise.,0,cmpeq r1, r2, r3
CMPNE,0x40,R,"rd, rs1, rs2, -",rd = (rs1 != rs2) ? 1 : 0,Compares rs1 and rs2 for inequality. Stores 1 in rd if not equal; 0 otherwise.,1,cmpne r1, r2, r3
CMPLT,0x40,R,"rd, rs1, rs2, -",rd = (rs1 < rs2) ? 1 : 0 (signed),Compares rs1 and rs2 (signed). Stores 1 in rd if rs1 < rs2; 0 otherwise.,2,cmplt r1, r2, r3
CMPLE,0x40,R,"rd, rs1, rs2, -",rd = (rs1 <= rs2) ? 1 : 0 (signed),Compares rs1 and rs2 (signed). Stores 1 in rd if rs1 <= rs2; 0 otherwise.,3,cmple r1, r2, r3
