Register,Mnemonic,Width (bits),Purpose
r0,zero,64,Hardwired to zero. Reading always returns 0; writing has no effect.
r1,arg1/ret,64,First argument and return value register.
r2,arg2,64,Second argument register.
r3,arg3,64,Third argument register.
r4,arg4,64,Fourth argument register.
r5,arg5,64,Fifth argument register.
r6,arg6,64,Sixth argument register.
r7,arg7,64,Seventh argument register.
r8,arg8,64,Eighth argument register.
r9,temp1,64,Temporary register.
r10,temp2,64,Temporary register.
r11,temp3,64,Temporary register.
r12,temp4,64,Temporary register.
r13,temp5,64,Temporary register.
r14,temp6,64,Temporary register.
r15,temp7,64,Temporary register.
r16,saved1,64,Callee-saved register.
r17,saved2,64,Callee-saved register.
r18,saved3,64,Callee-saved register.
r19,saved4,64,Callee-saved register.
r20,saved5,64,Callee-saved register.
r21,saved6,64,Callee-saved register.
r22,saved7,64,Callee-saved register.
r23,saved8,64,Callee-saved register.
r24,saved9,64,Callee-saved register.
r25,saved10,64,Callee-saved register.
r26,saved11,64,Callee-saved register.
r27,saved12,64,Callee-saved register.
r28,saved13,64,Callee-saved register.
r29,lr,64,Link register holding return address for `RET`.
r30,fp,64,"Frame pointer. Required by ENTER/LEAVE/FRAME instructions."
r31,sp,64,Stack pointer.
